property_id,location_city,location_district,listing_date,property_type,square_footage,bedrooms,bathrooms,year_built,build_quality_rating,nearby_amenities_score,market_trend_index,sale_price_gbp,agent_commission_percentage,days_on_market,transaction_type,revenue_activity,revenue_gbp_monthly,property_age,listing_month,demand_index
BG-GUI-20200718-00046,Guildford,Jacobs Well,2020-07-18,Apartment,3629,4,4,1966,3,7.0,0.95,1391291.97,1.28,101,Lease,Airbnb/Short Let,57498.22,59,7,0.00980392156862745
BG-GUI-20201012-00047,Guildford,Stoughton,2020-10-12,Detached House,1412,3,3,2003,10,1.0,0.88,802031.8,1.33,75,Sale,Sale Commission,888.92,22,10,0.013157894736842105
BG-REA-20200324-00048,Reading,Caversham,2020-03-24,Apartment,3992,4,3,2006,10,9.0,0.93,2578593.85,1.57,138,Lease,Student Housing,99909.86,19,3,0.007194244604316547
BG-GUI-20200411-00049,Guildford,Guildford Town Centre,2020-04-11,Detached House,1340,2,2,1965,5,9.0,0.9,891479.9,1.06,38,Sale,Sale Commission,787.47,60,4,0.02564102564102564
BG-LON-20250225-00050,London,Notting Hill,2025-02-25,Apartment,1554,1,1,1960,7,7.0,1.14,1026178.61,1.85,21,Sale,Sale Commission,1582.03,65,2,0.045454545454545456
BG-LON-20230204-00051,London,Croydon,2023-02-04,Townhouse,1426,3,3,1966,8,7.0,1.1,740625.62,2.25,23,Sale,Sale Commission,1388.67,59,2,0.041666666666666664
BG-REA-20220716-00052,Reading,Whitley,2022-07-16,Detached House,552,1,1,1964,6,,1.08,340000.9,2.55,136,Sale,Sale Commission,722.5,61,7,0.0072992700729927005
BG-REA-20241216-00053,Reading,Caversham,2024-12-16,Detached House,955,5,5,1965,7,2.0,1.09,857531.83,1.3,22,Sale,Sale Commission,928.99,60,12,0.043478260869565216
BG-GUI-20210312-00054,Guildford,Stoughton,2021-03-12,Detached House,1729,3,2,1985,4,4.0,0.9,997183.18,2.89,153,Sale,Sale Commission,2401.55,40,3,0.006493506493506494
BG-REA-20210528-00055,Reading,Coley,2021-05-28,Apartment,2391,4,1,2015,3,9.0,0.92,1438673.3,2.94,177,Sale,Sale Commission,3524.75,10,5,0.0056179775280898875
BG-REA-20221129-00056,Reading,Tilehurst,2022-11-29,Apartment,3487,4,3,1990,6,8.0,1.15,2126973.15,1.23,110,Sale,Sale Commission,2180.15,35,11,0.009009009009009009
BG-LON-20220628-00057,London,Clapham,2022-06-28,Detached House,1484,4,2,1979,6,2.0,1.13,743318.64,1.21,55,Sale,Sale Commission,749.51,46,6,0.017857142857142856
BG-REA-20201201-00058,Reading,Southcote,2020-12-01,Detached House,1370,4,3,2009,1,5.0,0.85,800149.56,1.46,80,Sale,Sale Commission,973.52,16,12,0.012345679012345678
BG-LON-20201031-00059,London,Hackney,2020-10-31,Detached House,1577,4,3,1998,8,10.0,0.92,689814.43,2.51,84,Sale,Sale Commission,1442.86,27,10,0.011764705882352941
BG-REA-20240221-00060,Reading,Coley,2024-02-21,Detached House,1024,5,4,2001,3,6.0,1.05,717238.22,1.52,167,Lease,Student Housing,17208.27,24,2,0.005952380952380952
BG-LON-20200925-00061,London,Kensington,2020-09-25,Apartment,1222,4,4,1965,4,10.0,0.88,1037094.74,2.66,40,Lease,Residential Rent,27121.74,60,9,0.024390243902439025
BG-GUI-20230416-00062,Guildford,Park Barn,2023-04-16,Apartment,1228,2,1,2005,8,4.0,1.11,641926.77,1.16,56,Sale,Sale Commission,620.53,20,4,0.017543859649122806
BG-REA-20230727-00063,Reading,Whitley,2023-07-27,Townhouse,2465,3,1,1981,7,3.0,1.14,1272626.97,2.47,153,Lease,Residential Rent,57646.24,44,7,0.006493506493506494
BG-GUI-20190217-00064,Guildford,Stoughton,2019-02-17,Detached House,833,3,3,1962,3,5.0,1.0,563348.17,3.0,103,Sale,Sale Commission,1408.37,63,2,0.009615384615384616
BG-GUI-20240713-00065,Guildford,Jacobs Well,2024-07-13,Townhouse,1252,2,2,1977,5,9.0,1.12,993073.49,2.32,15,Sale,Sale Commission,1919.94,48,7,0.0625
BG-LON-20240320-00066,London,Islington,2024-03-20,Townhouse,2006,3,2,2007,9,10.0,1.14,2273055.29,1.15,12,Lease,Residential Rent,49325.96,18,3,0.07692307692307693
BG-REA-20250222-00067,Reading,Caversham,2025-02-22,Detached House,3910,2,2,1992,7,8.0,1.07,2163323.48,1.88,104,Sale,Sale Commission,3389.21,33,2,0.009523809523809525
BG-REA-20221111-00068,Reading,Tilehurst,2022-11-11,Apartment,2537,2,1,2021,3,10.0,1.12,1867658.85,1.59,152,Lease,Airbnb/Short Let,85033.61,4,11,0.006535947712418301
BG-LON-20190901-00069,London,Croydon,2019-09-01,Detached House,1347,1,1,1983,3,7.0,1.0,770648.54,1.35,126,Sale,Sale Commission,866.98,42,9,0.007874015748031496
BG-GUI-20221020-00070,Guildford,Park Barn,2022-10-20,Townhouse,2506,4,1,1969,9,5.0,1.06,1374358.73,1.55,75,Sale,Sale Commission,1775.21,56,10,0.013157894736842105
BG-REA-20180531-00071,Reading,Whitley,2018-05-31,Detached House,536,1,1,2000,2,9.0,1.0,296458.36,2.65,96,Sale,Sale Commission,654.68,25,5,0.010309278350515464
BG-LON-20230113-00072,London,Wimbledon,2023-01-13,Apartment,3036,4,4,2022,8,8.0,1.1,2637161.74,1.18,135,Lease,Student Housing,68702.93,3,1,0.007352941176470588
BG-GUI-20180711-00073,Guildford,Onslow Village,2018-07-11,Detached House,3171,1,1,2001,5,4.0,1.02,1908048.84,2.28,29,Sale,Sale Commission,3625.29,24,7,0.03333333333333333
BG-GUI-20201121-00074,Guildford,Merrow,2020-11-21,Apartment,3011,3,3,1994,9,,0.88,1480551.23,1.16,151,Lease,Residential Rent,89696.57,31,11,0.006578947368421052
BG-LON-20240615-00075,London,Hammersmith,2024-06-15,Apartment,1448,2,1,2004,5,9.0,1.05,851132.36,2.23,32,Sale,Sale Commission,1581.69,21,6,0.030303030303030304
BG-REA-20230525-00076,Reading,Caversham,2023-05-25,Apartment,3107,5,2,1968,4,7.0,1.06,1712377.43,1.53,131,Lease,Airbnb/Short Let,54769.43,57,5,0.007575757575757576
BG-REA-20210206-00077,Reading,Caversham,2021-02-06,Detached House,3862,3,3,1959,5,1.0,0.88,1771585.0,1.49,39,Sale,Sale Commission,2199.72,66,2,0.025
BG-REA-20210221-00078,Reading,Southcote,2021-02-21,Townhouse,1065,4,1,2007,1,7.0,0.91,371178.04,1.02,131,Lease,Airbnb/Short Let,25191.81,18,2,0.007575757575757576
BG-REA-20240323-00079,Reading,Kennet Island,2024-03-23,Townhouse,3551,3,2,2016,4,4.0,1.06,1679366.72,2.36,48,Lease,Residential Rent,134323.22,9,3,0.02040816326530612
BG-LON-20190630-00080,London,Clapham,2019-06-30,Townhouse,2312,3,1,1999,9,2.0,0.98,1647410.46,1.49,168,Sale,Sale Commission,2045.53,26,6,0.005917159763313609
BG-GUI-20250628-00081,Guildford,Jacobs Well,2025-06-28,Apartment,744,5,5,1970,5,6.0,1.06,659336.94,2.66,101,Sale,Sale Commission,1461.53,55,6,0.00980392156862745
BG-REA-20181223-00082,Reading,Whitley,2018-12-23,Townhouse,3542,3,2,1950,8,3.0,1.01,1734389.64,2.32,143,Lease,Residential Rent,67301.02,75,12,0.006944444444444444
BG-GUI-20230406-00083,Guildford,Burpham,2023-04-06,Townhouse,3036,3,1,2014,4,3.0,1.08,1982669.54,1.75,37,Lease,Student Housing,59783.03,11,4,0.02631578947368421
BG-REA-20210920-00084,Reading,Earley,2021-09-20,Townhouse,2024,4,3,2005,3,8.0,1.12,1514054.75,1.41,38,Sale,Sale Commission,1779.01,20,9,0.02564102564102564
BG-GUI-20210119-00085,Guildford,Park Barn,2021-01-19,Townhouse,2884,1,1,1978,5,8.0,0.87,1348107.43,2.63,71,Sale,Sale Commission,2954.6,47,1,0.013888888888888888
BG-REA-20211026-00086,Reading,Caversham,2021-10-26,Detached House,1631,1,1,1996,9,7.0,1.09,714355.56,2.78,74,Lease,Airbnb/Short Let,59194.17,29,10,0.013333333333333334
BG-GUI-20221018-00087,Guildford,Jacobs Well,2022-10-18,Apartment,3443,2,2,1970,7,8.0,1.1,2148768.21,1.52,68,Lease,Student Housing,95531.06,55,10,0.014492753623188406
BG-LON-20181229-00088,London,Islington,2018-12-29,Townhouse,2469,1,1,1965,10,3.0,1.01,2385358.2,1.68,55,Lease,Airbnb/Short Let,62554.59,60,12,0.017857142857142856
BG-GUI-20181210-00089,Guildford,Guildford Town Centre,2018-12-10,Apartment,3357,2,2,1957,2,7.0,1.01,1583288.49,2.42,149,Sale,Sale Commission,3192.97,68,12,0.006666666666666667
BG-REA-20190405-00090,Reading,Kennet Island,2019-04-05,Apartment,2930,4,4,2011,1,3.0,1.0,1343689.01,2.75,143,Sale,Sale Commission,3079.29,14,4,0.006944444444444444
BG-GUI-20190319-00091,Guildford,Onslow Village,2019-03-19,Apartment,936,2,2,1979,10,1.0,1.0,375771.34,1.01,154,Sale,Sale Commission,316.27,46,3,0.0064516129032258064
BG-LON-20250425-00092,London,Brixton,2025-04-25,Apartment,3696,4,4,2019,10,2.0,1.1,2287153.19,2.55,7,Lease,Airbnb/Short Let,120599.62,6,4,0.125
BG-LON-20250612-00093,London,Richmond,2025-06-12,Townhouse,1888,5,1,2023,10,8.0,1.15,1050921.78,1.68,105,Sale,Sale Commission,1471.29,2,6,0.009433962264150943
BG-REA-20190912-00094,Reading,Earley,2019-09-12,Apartment,1204,5,2,1993,8,2.0,1.0,876902.75,1.88,21,Lease,Residential Rent,34046.82,32,9,0.045454545454545456
BG-LON-20220928-00095,London,Brixton,2022-09-28,Townhouse,3282,1,1,2003,4,8.0,1.13,1565069.17,1.1,134,Lease,Residential Rent,49563.43,22,9,0.007407407407407408
BG-REA-20220224-00096,Reading,Caversham,2022-02-24,Townhouse,2936,4,2,1965,7,3.0,1.11,2314545.05,2.77,176,Sale,Sale Commission,5342.74,60,2,0.005649717514124294
BG-REA-20240207-00097,Reading,Caversham,2024-02-07,Townhouse,2561,2,1,1963,7,7.0,1.13,1102762.21,2.04,119,Lease,Student Housing,87757.58,62,2,0.008333333333333333
BG-REA-20180108-00098,Reading,Caversham,2018-01-08,Townhouse,1363,5,4,1954,9,,0.99,846702.69,1.65,95,Lease,Residential Rent,37304.32,71,1,0.010416666666666666
BG-GUI-20240411-00099,Guildford,Onslow Village,2024-04-11,Townhouse,2617,4,1,1961,2,3.0,1.11,1949210.44,2.0,69,Sale,Sale Commission,3248.68,64,4,0.014285714285714285
BG-GUI-20211113-00100,Guildford,Jacobs Well,2021-11-13,Detached House,2079,1,1,1967,3,4.0,1.1,949526.73,2.77,54,Lease,Student Housing,64646.64,58,11,0.01818181818181818
BG-GUI-20200911-00101,Guildford,Burpham,2020-09-11,Apartment,1660,3,2,1964,5,1.0,0.88,934020.74,1.45,10,Sale,Sale Commission,1128.61,61,9,0.09090909090909091
BG-LON-20230928-00102,London,Richmond,2023-09-28,Apartment,2261,4,3,1957,9,6.0,1.12,2015158.03,1.8,77,Sale,Sale Commission,3022.74,68,9,0.01282051282051282
BG-REA-20230906-00103,Reading,Kennet Island,2023-09-06,Townhouse,2730,1,1,1977,1,1.0,1.13,1224732.01,2.7,136,Sale,Sale Commission,2755.65,48,9,0.0072992700729927005
BG-GUI-20200715-00104,Guildford,Merrow,2020-07-15,Detached House,3427,1,1,1975,2,3.0,0.89,927294.75,1.1,66,Lease,Student Housing,134590.98,50,7,0.014925373134328358
BG-GUI-20180602-00105,Guildford,Guildford Town Centre,2018-06-02,Apartment,2355,4,3,1981,7,6.0,1.01,1265385.9,1.37,25,Sale,Sale Commission,1444.65,44,6,0.038461538461538464
BG-REA-20180418-00106,Reading,Earley,2018-04-18,Detached House,1445,5,5,2011,1,1.0,0.98,918906.88,1.84,39,Sale,Sale Commission,1408.99,14,4,0.025
BG-REA-20250618-00107,Reading,Southcote,2025-06-18,Townhouse,3009,2,2,1969,4,3.0,1.11,1416227.93,2.05,73,Lease,Residential Rent,81234.39,56,6,0.013513513513513514
BG-LON-20221227-00108,London,Ealing,2022-12-27,Detached House,631,3,2,1950,3,,1.14,362815.99,2.51,124,Lease,Airbnb/Short Let,12303.17,75,12,0.008
BG-LON-20190926-00109,London,Notting Hill,2019-09-26,Apartment,2829,3,3,2008,4,1.0,0.99,1805790.16,2.61,133,Sale,Sale Commission,3927.59,17,9,0.007462686567164179
BG-REA-20191230-00110,Reading,Whitley,2019-12-30,Townhouse,2805,3,3,1986,7,6.0,1.0,1386219.75,2.26,43,Sale,Sale Commission,2610.71,39,12,0.022727272727272728
BG-GUI-20181212-00111,Guildford,Onslow Village,2018-12-12,Apartment,3803,5,2,1982,2,4.0,1.0,1473528.77,1.69,10,Sale,Sale Commission,2075.22,43,12,0.09090909090909091
BG-GUI-20190922-00112,Guildford,Guildford Town Centre,2019-09-22,Apartment,2511,4,4,1997,2,5.0,0.99,1751657.04,1.72,140,Sale,Sale Commission,2510.71,28,9,0.0070921985815602835
BG-REA-20211102-00113,Reading,Whitley,2021-11-02,Apartment,1129,1,1,2020,5,3.0,1.14,806067.45,1.58,137,Sale,Sale Commission,1061.32,5,11,0.007246376811594203
BG-REA-20250318-00114,Reading,Caversham,2025-03-18,Townhouse,2789,3,2,2024,7,10.0,1.12,2418795.35,2.49,151,Lease,Student Housing,55300.01,1,3,0.006578947368421052
BG-LON-20180513-00115,London,Ealing,2018-05-13,Apartment,2278,4,2,1992,9,3.0,0.98,1282432.77,1.74,25,Sale,Sale Commission,1859.53,33,5,0.038461538461538464
BG-LON-20200823-00116,London,Brixton,2020-08-23,Detached House,2371,1,1,1951,5,4.0,0.9,806984.46,2.74,109,Sale,Sale Commission,1842.61,74,8,0.00909090909090909
BG-GUI-20210323-00117,Guildford,Guildford Town Centre,2021-03-23,Apartment,2935,3,2,2007,7,1.0,0.9,1575918.62,2.86,146,Sale,Sale Commission,3755.94,18,3,0.006802721088435374
BG-LON-20191015-00118,London,Islington,2019-10-15,Detached House,761,1,1,1986,2,3.0,1.01,539732.33,2.42,149,Sale,Sale Commission,1088.46,39,10,0.006666666666666667
BG-GUI-20240617-00119,Guildford,Jacobs Well,2024-06-17,Apartment,3453,2,1,2010,3,2.0,1.08,2218679.04,2.01,110,Sale,Sale Commission,3716.29,15,6,0.009009009009009009
BG-LON-20230305-00120,London,Ealing,2023-03-05,Townhouse,2277,3,2,1973,7,10.0,1.13,1430283.79,2.67,133,Sale,Sale Commission,3182.38,52,3,0.007462686567164179
BG-LON-20220729-00121,London,Croydon,2022-07-29,Detached House,803,5,2,2003,4,5.0,1.12,434428.65,2.11,21,Sale,Sale Commission,763.87,22,7,0.045454545454545456
BG-REA-20180402-00122,Reading,Coley,2018-04-02,Townhouse,3554,2,1,2013,10,,0.99,2351225.91,1.8,154,Sale,Sale Commission,3526.84,12,4,0.0064516129032258064
BG-REA-20230716-00123,Reading,Coley,2023-07-16,Detached House,1840,4,3,1986,2,6.0,1.12,985000.07,2.48,45,Lease,Airbnb/Short Let,70037.71,39,7,0.021739130434782608
BG-LON-20180530-00124,London,Notting Hill,2018-05-30,Townhouse,1135,3,2,1965,8,9.0,1.01,878491.67,2.75,16,Lease,Airbnb/Short Let,20012.48,60,5,0.058823529411764705
BG-LON-20221216-00125,London,Camden,2022-12-16,Detached House,3955,5,1,1952,2,1.0,1.11,2171324.08,2.79,45,Lease,Residential Rent,137455.33,73,12,0.021739130434782608
BG-LON-20220517-00126,London,Clapham,2022-05-17,Detached House,758,2,1,1956,10,2.0,1.09,393891.23,1.04,102,Lease,Student Housing,13398.97,69,5,0.009708737864077669
BG-REA-20180927-00127,Reading,Whitley,2018-09-27,Detached House,1831,4,2,1967,7,6.0,1.01,1196859.71,1.25,39,Lease,Airbnb/Short Let,35227.23,58,9,0.025
BG-GUI-20220611-00128,Guildford,Guildford Town Centre,2022-06-11,Apartment,1953,4,1,2006,1,2.0,1.09,1081023.47,1.23,65,Lease,Residential Rent,50561.86,19,6,0.015151515151515152
BG-REA-20190309-00129,Reading,Whitley,2019-03-09,Detached House,1276,2,1,1977,2,9.0,1.01,770813.81,2.59,38,Sale,Sale Commission,1663.67,48,3,0.02564102564102564
BG-LON-20230420-00130,London,Croydon,2023-04-20,Apartment,1700,1,1,2013,3,2.0,1.05,569778.49,1.25,125,Sale,Sale Commission,593.52,12,4,0.007936507936507936
BG-LON-20240701-00131,London,Islington,2024-07-01,Detached House,1540,1,1,2016,4,3.0,1.05,1192666.22,1.34,136,Sale,Sale Commission,1331.81,9,7,0.0072992700729927005
BG-LON-20241211-00132,London,Clapham,2024-12-11,Detached House,3846,3,2,1989,10,4.0,1.12,2366696.82,1.94,138,Sale,Sale Commission,3826.16,36,12,0.007194244604316547
BG-LON-20201225-00133,London,Clapham,2020-12-25,Townhouse,2634,5,5,1965,9,9.0,0.89,2040151.91,1.6,46,Sale,Sale Commission,2720.2,60,12,0.02127659574468085
BG-REA-20220513-00134,Reading,Coley,2022-05-13,Townhouse,3094,4,2,1972,1,6.0,1.14,2539694.04,2.2,122,Sale,Sale Commission,4656.11,53,5,0.008130081300813009
BG-REA-20210909-00135,Reading,Kennet Island,2021-09-09,Apartment,3542,2,2,2013,1,8.0,1.06,2048393.17,2.29,57,Sale,Sale Commission,3909.02,12,9,0.017241379310344827
BG-REA-20220922-00136,Reading,Southcote,2022-09-22,Apartment,2845,4,2,2021,10,1.0,1.07,2013685.93,2.3,104,Lease,Student Housing,58461.57,4,9,0.009523809523809525
BG-REA-20240103-00137,Reading,Southcote,2024-01-03,Townhouse,1387,2,2,2007,6,7.0,1.14,920048.81,2.81,61,Lease,Residential Rent,40858.29,18,1,0.016129032258064516
BG-GUI-20230502-00138,Guildford,Merrow,2023-05-02,Townhouse,2663,1,1,1963,4,4.0,1.08,1538360.81,1.58,50,Sale,Sale Commission,2025.51,62,5,0.0196078431372549
BG-REA-20250518-00139,Reading,Whitley,2025-05-18,Townhouse,1124,3,2,2012,6,8.0,1.15,947989.54,1.51,108,Lease,Airbnb/Short Let,22494.18,13,5,0.009174311926605505
BG-LON-20210601-00140,London,Wimbledon,2021-06-01,Detached House,2675,2,1,1984,7,,0.95,1614197.43,2.73,93,Sale,Sale Commission,3672.3,41,6,0.010638297872340425
BG-LON-20250221-00141,London,Wimbledon,2025-02-21,Apartment,3909,2,1,1967,1,10.0,1.08,2490281.49,2.97,16,Sale,Sale Commission,6163.45,58,2,0.058823529411764705
BG-LON-20221009-00142,London,Camden,2022-10-09,Apartment,3531,3,2,1975,2,2.0,1.06,2412926.69,2.96,170,Lease,Airbnb/Short Let,114793.35,50,10,0.005847953216374269
BG-GUI-20190911-00143,Guildford,Onslow Village,2019-09-11,Detached House,2019,5,2,1958,4,6.0,0.99,927304.09,1.85,166,Lease,Student Housing,75438.99,67,9,0.005988023952095809
